127.0.0.1 - - [19/Sep/2022:10:15:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:15:39 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:15:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:30:18 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:30:30 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:30:55 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:31:00 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:32:45 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:37:15 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:37:15 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:37:15 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:37:16 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:43:56 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:43:56 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:44:27 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:44:27 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:44:28 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:44:28 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:44:28 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:44:28 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:44:29 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:32 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:32 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:32 +0900] "GET /day38_css_js/images/bg.jpg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:32 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:32 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:33 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:34 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:34 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:34 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:34 +0900] "GET /day38_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:46:34 +0900] "GET /day38_css_js/html/index.html HTTP/1.1" 304 -
